intent_a,intent_b,tfidf_centroid_cosine
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,0.8160745773400613
top_up_failed,top_up_reverted,0.7794158087671677
pending_top_up,top_up_failed,0.7597540519231735
verify_my_identity,why_verify_identity,0.7445493939678227
pending_top_up,top_up_reverted,0.7226000034509047
getting_virtual_card,virtual_card_not_working,0.7186331507188387
card_payment_fee_charged,transfer_fee_charged,0.6817159711301545
declined_card_payment,reverted_card_payment?,0.677226933978621
cash_withdrawal_charge,transfer_fee_charged,0.6765513777261696
card_payment_fee_charged,cash_withdrawal_charge,0.6712714008857418
top_up_failed,topping_up_by_card,0.6682576494319636
unable_to_verify_identity,why_verify_identity,0.6564309128559255
disposable_card_limits,get_disposable_virtual_card,0.649043534932886
unable_to_verify_identity,verify_my_identity,0.6321033012479632
get_physical_card,pin_blocked,0.618570624421891
top_up_by_cash_or_cheque,topping_up_by_card,0.613074015282346
get_disposable_virtual_card,virtual_card_not_working,0.6073273867136483
get_disposable_virtual_card,getting_virtual_card,0.5767716863397663
top_up_reverted,topping_up_by_card,0.5758227491605057
declined_transfer,failed_transfer,0.5643163594861205
