category,train_count,test_count,train_share_pct
Refund_not_showing_up,162,40,1.619514145756273
activate_my_card,159,40,1.5895231430570829
age_limit,110,40,1.0996700989703088
apple_pay_or_google_pay,126,40,1.2596221133659902
atm_support,87,40,0.869739078276517
automatic_top_up,127,40,1.2696191142657203
balance_not_updated_after_bank_transfer,171,40,1.7094871538538436
balance_not_updated_after_cheque_or_cash_deposit,181,40,1.8094571628511449
beneficiary_not_allowed,156,40,1.5595321403578926
cancel_transfer,157,40,1.5695291412576227
card_about_to_expire,129,40,1.2896131160651805
card_acceptance,59,40,0.5898230530840748
card_arrival,153,40,1.5295411376587025
card_delivery_estimate,112,40,1.119664100769769
card_linking,139,40,1.3895831250624813
card_not_working,112,40,1.119664100769769
card_payment_fee_charged,187,40,1.8694391682495253
card_payment_not_recognised,168,40,1.6794961511546536
card_payment_wrong_exchange_rate,167,40,1.6694991502549235
card_swallowed,61,40,0.609817054883535
cash_withdrawal_charge,177,40,1.7694691592522245
cash_withdrawal_not_recognised,160,40,1.599520143956813
change_pin,122,40,1.21963410976707
compromised_card,86,40,0.8597420773767869
contactless_not_working,35,40,0.34989503149055284
country_support,129,40,1.2896131160651805
declined_card_payment,153,40,1.5295411376587025
declined_cash_withdrawal,173,40,1.7294811556533038
declined_transfer,133,40,1.3296011196641007
direct_debit_payment_not_recognised,182,40,1.819454163750875
disposable_card_limits,121,40,1.2096371088673399
edit_personal_details,121,40,1.2096371088673399
exchange_charge,121,40,1.2096371088673399
exchange_rate,112,40,1.119664100769769
exchange_via_app,118,40,1.1796461061681496
extra_charge_on_statement,166,40,1.6595021493551934
failed_transfer,137,40,1.369589123263021
fiat_currency_support,126,40,1.2596221133659902
get_disposable_virtual_card,97,40,0.9697090872738179
get_physical_card,106,40,1.0596820953713886
getting_spare_card,129,40,1.2896131160651805
getting_virtual_card,98,40,0.979706088173548
lost_or_stolen_card,82,40,0.8197540737778666
lost_or_stolen_phone,121,40,1.2096371088673399
order_physical_card,120,40,1.1996401079676098
passcode_forgotten,105,40,1.0496850944716585
pending_card_payment,159,40,1.5895231430570829
pending_cash_withdrawal,143,40,1.4295711286614017
pending_top_up,149,40,1.489553134059782
pending_transfer,148,40,1.479556133160052
pin_blocked,115,40,1.1496551034689595
receiving_money,95,40,0.9497150854743577
request_refund,169,40,1.6894931520543837
reverted_card_payment?,161,40,1.609517144856543
supported_cards_and_currencies,129,40,1.2896131160651805
terminate_account,108,40,1.0796760971708488
top_up_by_bank_transfer_charge,111,40,1.1096670998700389
top_up_by_card_charge,114,40,1.1396581025692294
top_up_by_cash_or_cheque,114,40,1.1396581025692294
top_up_failed,145,40,1.4495651304608619
top_up_limits,97,40,0.9697090872738179
top_up_reverted,146,40,1.4595621313605918
topping_up_by_card,103,40,1.0296910926721983
transaction_charged_twice,175,40,1.749475157452764
transfer_fee_charged,172,40,1.7194841547535737
transfer_into_account,113,40,1.129661101669499
transfer_not_received_by_recipient,171,40,1.7094871538538436
transfer_timing,128,40,1.2796161151654504
unable_to_verify_identity,102,40,1.0196940917724682
verify_my_identity,104,40,1.0396880935719284
verify_source_of_funds,113,40,1.129661101669499
verify_top_up,126,40,1.2596221133659902
virtual_card_not_working,41,40,0.4098770368889333
visa_or_mastercard,135,40,1.3495951214635609
why_verify_identity,121,40,1.2096371088673399
wrong_amount_of_cash_received,180,40,1.7994601619514148
wrong_exchange_rate_for_cash_withdrawal,163,40,1.629511146656003
